,plot,id,species,height_cm,date
515,2404,23,SAAP,125,5/17/2023
516,2404,24,SALE,119,5/17/2023
517,2404,25,SAME,114,5/17/2023
518,2404,26,ARCA,97,5/17/2023
519,2404,27,SAME,76.5,5/17/2023
520,2404,28,SAME,132,5/17/2023
521,2404,29,ENCA,64,5/17/2023
522,2404,30,ARCA,58,5/17/2023
523,2404,31,SALE,57,5/17/2023
524,2404,32,SALE,119,5/17/2023
525,2404,33,MALA,78,5/17/2023
526,2404,34,SAAP,186,5/17/2023
527,2404,35,SAAP,144,5/17/2023
528,2404,36,SAME,87,5/17/2023
529,2404,37,ARCA,67,5/17/2023
530,2404,38,ERFA,55,5/17/2023
531,2404,39,SAME,22,5/17/2023
532,2404,40,ENCA,43,5/17/2023
533,2461,1,ENCA,51.5,5/17/2023
534,2461,3,SAAP,29,5/17/2023
535,2461,4,ARCA,38,5/17/2023
536,2461,5,SAAP,55,5/17/2023
537,2461,6,ENCA,50,5/17/2023
538,2461,7,ARCA,77,5/17/2023
539,2461,8,SALE,81.5,5/17/2023
540,2461,9,ARCA,72,5/17/2023
541,2461,10,ARCA,129,5/17/2023
542,2461,11,SAAP,116,5/17/2023
543,2461,12,SAME,88.5,5/17/2023
544,2461,13,ARCA,111,5/17/2023
545,2461,14,ARCA,82,5/17/2023
546,2461,15,SAAP,47,5/17/2023
547,2461,16,ARCA,79.5,5/17/2023
548,2461,17,ARCA,37,5/17/2023
549,2461,18,ENCA,50,5/17/2023
550,2461,19,ARCA,83,5/17/2023
551,2461,20,ENCA,59,5/17/2023
552,2461,21,SAAP,66,5/17/2023
553,2461,22,SALE,92,5/17/2023
554,2461,23,SAAP,40,5/17/2023
555,2461,24,SALE,75.5,5/17/2023
556,2461,25,SAME,48,5/17/2023
557,2461,26,ENCA,79,5/17/2023
558,2461,27,ARCA,71,5/17/2023
559,2461,28,SALE,75,5/17/2023
560,2461,29,ENCA,63,5/17/2023
561,2461,NA,ENCA,73,5/17/2023
562,2460,1,ARCA,55,5/17/2023
563,2460,2,SALE,122.4,5/17/2023
564,2460,3,SAAP,49.6,5/17/2023
565,2460,4,ENCA,99.5,5/17/2023
566,2460,5,SAAP,145,5/17/2023
567,2460,6,ARCA,59.9,5/17/2023
568,2460,7,ENCA,85.4,5/17/2023
569,2460,8,SAAP,152.1,5/17/2023
570,2460,9,SAAP,199,5/17/2023
571,2460,10,SALE,85.8,5/17/2023
572,2460,11,RHOV,22.5,5/17/2023
573,2460,12,SAME,106.2,5/17/2023
574,2460,13,SAAP,210.9,5/17/2023
575,2460,14,SALE,80.8,5/17/2023
576,2460,15,ENCA,120.4,5/17/2023
577,2460,16,ARCA,60.2,5/17/2023
578,2460,17,SALE,108.5,5/17/2023
579,2460,18,ENCA,103,5/17/2023
580,2460,19,SALE,128.4,5/17/2023
581,2460,20,RHOV,32.9,5/17/2023
582,2460,21,ARCA,64.2,5/17/2023
583,2460,22,SAME,120.2,5/17/2023
584,2460,23,ARCA,93.7,5/17/2023
585,2460,24,ENCA,104.3,5/17/2023
586,2460,25,ARCA,77.1,5/17/2023
587,2460,26,SALE,121.7,5/17/2023
588,2460,27,SAAP,218.5,5/17/2023
589,2460,28,ARCA,63.1,5/17/2023
590,2460,29,MALA,94.8,5/17/2023
591,2460,30,SALE,106.6,5/17/2023
592,2460,31,ENCA,65.5,5/17/2023
593,2460,32,ENCA,101.6,5/17/2023
594,2460,33,ARCA,60.1,5/17/2023
595,2460,34,ERFA,87.5,5/17/2023
596,2460,35,SAME,136.9,5/17/2023
597,2460,36,ENCA,101.5,5/17/2023
598,2460,37,SALE,130.4,5/17/2023
599,2460,38,SAME,121.2,5/17/2023
600,2460,39,ARCA,123,5/17/2023
601,2460,40,ERFA,59.2,5/17/2023
602,2460,41,SAAP,74.9,5/17/2023
603,2460,42,ERFA,85,5/17/2023
604,2460,43,ARCA,37.2,5/17/2023
605,2460,44,SAAP,133,5/17/2023
606,2460,45,SALE,130.6,5/17/2023
607,2460,46,ENCA,119,5/17/2023
608,2460,47,SAAP,15.3,5/17/2023
609,2404,1,SAAP,38,9/25/2023
610,2404,2,ARCA,84.2,9/25/2023
611,2404,3,ENCA,62.2,9/25/2023
612,2404,4,SAAP,34.4,9/25/2023
613,2404,5,ENCA,50.5,9/25/2023
614,2404,6,ENCA,51.5,9/25/2023
615,2404,7,ENCA,58.3,9/25/2023
616,2404,8,RHOV,21.7,9/25/2023
617,2404,9,SAAP,22.5,9/25/2023
618,2404,10,ERFA,54.4,9/25/2023
619,2404,11,ARCA,73.8,9/25/2023
620,2404,12,ERFA,48,9/25/2023
621,2404,13,ARCA,73.3,9/25/2023
622,2404,14,ARCA,64.2,9/25/2023
623,2404,15,SAAP,40.8,9/25/2023
624,2404,16,ERFA,52.6,9/25/2023
625,2404,17,SAME,33.4,9/25/2023
626,2404,18,MALA,79.4,9/25/2023
627,2404,19,ERFA,26.8,9/25/2023
628,2404,20,ENCA,48.3,9/25/2023
629,2404,21,ENCA,53.9,9/25/2023
630,2404,22,ENCA,54.7,9/25/2023
631,2404,23,SAAP,42.5,9/25/2023
